customer_id,name,email,phone,location,signup_date,is_premium,preferred_cuisine,total_orders,average_rating
1,Nathan Black,lmckee@example.org,400.669.0938x65597,"7367 Mcdowell Courts Suite 425
Port Kevinview, KS 15209",2024-05-15,1,Thai,32,3.9
2,Trevor Johnson,jennifer87@example.net,659-623-1107x80314,"38718 Robertson Parkway
West Derekchester, DE 07282",2024-07-23,0,Chinese,36,4.2
3,Melanie Martinez,curtistina@example.org,(944)661-1924x37659,"0355 Sara Vista Apt. 421
West Victoria, ID 54460",2024-10-17,1,Indian,7,4.4
4,Jamie Hernandez,martinkara@example.com,778-444-8165x2526,"58711 Marquez Run Apt. 831
Hooverport, FM 05094",2024-01-15,1,Italian,7,4.9
5,Derrick Ibarra,delgadokelly@example.org,(522)954-1530,"141 Joshua Crossroad Apt. 646
West Phillip, MD 99538",2023-11-13,1,Chinese,30,3.9
6,Timothy Jones,joshuaclark@example.net,6587596428,"30453 Alexander Stream
Elizabethside, MI 26765",2024-08-22,0,Mexican,39,4.8
7,Dr. Brittany Brown,yatesalexandra@example.net,924.443.6585x270,"983 Jasmine Lakes Apt. 712
Morganshire, WI 41407",2024-07-08,0,Mexican,2,4.2
8,Matthew Clark,ekelley@example.com,+1-516-395-7553x613,"366 Brian Coves Suite 686
South Adam, VT 86674",2023-05-20,0,Italian,15,4.9
9,Angela Butler,owillis@example.com,646.568.8406,"PSC 7405, Box 9028
APO AA 98323",2024-02-27,1,Italian,6,3.0
10,Elizabeth Murphy,elizabethfoster@example.net,+1-330-526-2702,"Unit 7929 Box 7940
DPO AP 36156",2023-03-31,0,Mexican,4,4.5
11,Antonio Garcia,qcarpenter@example.org,757.824.7322,"307 Joseph Springs
East William, AL 37310",2023-09-15,1,Thai,2,4.6
12,Heather Richardson,miranda41@example.com,967.732.8762x2939,"73086 Stewart Mission
Lake Joelville, PR 41246",2023-02-10,1,Indian,12,3.7
13,Kevin Allen,fmorrow@example.org,230-933-2606,"432 Tran Hollow
East Dawn, ME 28851",2023-11-02,0,Indian,9,3.1
14,Wanda Dunn,awoods@example.net,001-936-501-2735x35138,"871 Roger Mission Apt. 736
Ericfurt, ME 38000",2024-02-09,0,Chinese,36,4.7
15,Erica Gay,patrickrodriguez@example.com,001-595-439-2909x1525,"7376 Smith Spring Suite 886
South Matthewshire, KY 17398",2023-11-22,0,Thai,28,3.2
16,Robert Ferguson,victor34@example.net,877.203.5451x58597,"514 Bianca Circle Apt. 254
Lake Michael, OK 44915",2023-01-08,1,Thai,0,3.8
17,Samantha Dunlap,john05@example.org,347.369.3270x67545,"1233 Christine Oval Apt. 645
Williamsonshire, TX 47445",2024-03-26,0,Indian,33,4.8
