delivery_person_id,name,contact_number,vehicle_type,total_deliveries,average_rating,location
1,Daniel Roberts,9143910810,Bike,432,3.8,Port Marcusborough
2,Mr. Christopher Reed,(347)336-6976x5428,Scooter,201,4.5,South Samantha
3,Alexandra Williams,(851)320-4108,Bike,214,4.4,Williamport
4,Richard Jackson,+1-749-871-0424x182,Scooter,311,4.0,Glennborough
5,Jessica Thomas,437.515.6364,Scooter,426,4.5,Lake Charlesberg
6,Fred Moore,661-584-6205x96892,Scooter,293,4.3,Morashire
7,Scott Harper,843.389.4598,Bike,289,3.8,Jacksonmouth
8,Jessica Norman,6865129948,Car,107,3.7,Lindseyport
9,Amanda Brown,253-382-1065x1736,Bike,438,4.3,South Cindyview
10,Katie Marshall,484.754.5448x6925,Scooter,4,3.2,Claytonside
11,Robert Ryan,9664771226,Bike,374,4.0,East Karenview
12,Kimberly Hansen,342.719.7187,Scooter,32,4.3,Ericside
13,Tina Brown,2515327832,Scooter,192,4.5,South Claytonland
14,Donna Glover,4389625221,Scooter,399,3.0,New Jacqueline
15,Adam Clark,277.597.7645,Scooter,409,3.7,Andrewton
